uoc,localidad,provincia,fuente
37/040 - Escuadrón 52 Tartagal,,,"Anexo Escuadrones GN (Wikipedia), Esc 52 -> Tartagal"
37/017 - Escuadrón 47 Ituzaingo,,,"Anexo Escuadrones GN (Wikipedia), Esc 47 -> Ituzaingó"
37/061 - Escuadrón 34 Bariloche,,,"Anexo Escuadrones GN (Wikipedia), Esc 34 -> San Carlos de Bariloche"
37/051 - Escuadrón 27 Uspallata,,,"Anexo Escuadrones GN (Wikipedia), Esc 27 -> Uspallata"
37/115 - Escuadron 60 San Pedro,,,"Anexo Escuadrones GN (Wikipedia), Esc 60 -> San Pedro"
37/025 - Escuadrón 9 Oberá,,,"Anexo Escuadrones GN (Wikipedia), Esc 9 -> Oberá"
37/060 - Escuadrón 33 San Martin De Los Andes,,,"Anexo Escuadrones GN (Wikipedia), Esc 33 -> San Martín de Los Andes"
37/078 - Escuadrón 57 Santo Tome,,,"Anexo Escuadrones GN (Wikipedia), Esc 57 -> Santo Tomé"
37/026 - Escuadrón 10 Eldorado,,,"Anexo Escuadrones GN (Wikipedia), Esc 10 -> Eldorado"
37/027 - Escuadrón 11 San Ignacio,,,"Anexo Escuadrones GN (Wikipedia), Esc 11 -> San Ignacio"
37/064 - Escuadrón 36 Esquel,,,"Anexo Escuadrones GN (Wikipedia), Esc 36 -> Esquel"
37/018 - Escuadron 7 Pasos De Los Libres,,,"Anexo Escuadrones GN (Wikipedia), Esc 7 -> Paso de Los Libres"
37/042 - Escuadrón 54 Aguaray,,,"Anexo Escuadrones GN (Wikipedia), Esc 54 -> Aguaray"
37/029 - Escuadrón 13 Iguazú,,,"Anexo Escuadrones GN (Wikipedia), Esc 13 -> Puerto Iguazú"
37/095 - Escuadrón 22 San Antonio De Los Cobres,,,"Anexo Escuadrones GN (Wikipedia), Esc 22 -> San Antonio de los Cobres"
37/119 - Gendarmería Nacional - Escuadrón 61 Salvador Mazza,,,"Anexo Escuadrones GN (Wikipedia), Esc 61 -> Salvador Mazza"
37/052 - Escuadrón 28 Tunuyan,,,"Anexo Escuadrones GN (Wikipedia), Esc 28 -> Tunuyán"
37/032 - Escuadrón 16 Clorinda,,,"Anexo Escuadrones GN (Wikipedia), Esc 16 -> Clorinda"
37/41 - SERVICIO ADMINISTRATIVO FINANCIERO DESCONCENTRADO ESCUADRÓN 53 JUJUY,,,"Anexo Escuadrones GN (Wikipedia), Esc 53 -> San Salvador de Jujuy"
37/020 - Escuadrón 4 Concordia,,,"Anexo Escuadrones GN (Wikipedia), Esc 4 -> Concordia"
37/125 - SERVICIO ADMINISTRATIVO FINANCIERO DESCONCENTRADO ESCUADRÓN 45 SALTA,,,"Anexo Escuadrones GN (Wikipedia), Esc 45 -> Ciudad de Salta"
37/084 - Escuadrón 14 Las Palmas,La Leonesa,Chaco,"Anexo Escuadrones GN (Wikipedia), Esc 14 -> La Leonesa"
37/134 - SERVICIO ADMINISTRATIVO FINANCIERO DESCONCENTRADO ESCUADRÓN 65 CORDOBA,Sinsacate,Córdoba,"Anexo Escuadrones GN (Wikipedia), Esc 65 -> Sinsacate"
37/024 - Escuadrón 8 Alto Uruguay,Concepción de la Sierra,Misiones,"Anexo Escuadrones GN (Wikipedia), Esc 8 -> Concepción de la Sierra"
37/046 - Escuadrón 24 Chilecito,,,"Anexo Escuadrones GN (Wikipedia), Esc 24 -> Chilecito"
37/021 - Escuadrón 6 Concepción Del Uruguay,,,"Anexo Escuadrones GN (Wikipedia), Esc 6 -> Concepción del Uruguay"
37/77 - SERVICIO ADMINISTRATIVO FINANCIERO DESCONCENTRADO ESCUADRÓN 48 CORRIENTES,,,"Anexo Escuadrones GN (Wikipedia), Esc 48 -> Ciudad de Corrientes"
37/085 - Escuadrón 37 Jose De San Martin,,,"Anexo Escuadrones GN (Wikipedia), Esc 37 -> José de San Martín"
37/062 - Escuadrón 35 El Bolson,,,"Anexo Escuadrones GN (Wikipedia), Esc 35 -> El Bolsón"
37/133 - SERVICIO ADMINISTRATIVO FINANCIERO DESCONCENTRADO ESCUADRÓN 64 MENDOZA,,,"Anexo Escuadrones GN (Wikipedia), Esc 64 -> Mendoza"
37/048 - Escuadrón 25 Jachal,,,"Anexo Escuadrones GN (Wikipedia), Esc 25 -> Jáchal"
37/028 - Escuadrón 12 Bernardo De Irigoyen,,,"Anexo Escuadrones GN (Wikipedia), Esc 12 -> Bernardo de Irigoyen"
37/098 - Escuadron 1 Roque Saenz Peña,Presidencia Roque Sáenz Peña,Chaco,"Anexo Escuadrones GN (Wikipedia), Esc 1 -> Roque Sáenz Peña; georef locality Presidencia Roque Sáenz Peña. 3 Sep 2026: with the locality left blank the prefill's short name went to Nominatim, which returned a point beside Resistencia, 161 km from the seat, and the denomination rule then marked it verified"
37/053 - Escuadrón 29 Malargüe,,,"Anexo Escuadrones GN (Wikipedia), Esc 29 -> Malargüe"
37/059 - Escuadrón 32 Alumine,,,"Anexo Escuadrones GN (Wikipedia), Esc 32 -> Aluminé"
37/031 - Escuadrón 5 Pirané,,,"Anexo Escuadrones GN (Wikipedia), Esc 5 -> Pirané"
37/101 - Escuadron 41 Comodoro Rivadavia,,,"Anexo Escuadrones GN (Wikipedia), Esc 41 -> Comodoro Rivadavia"
37/043 - Escuadrón 55 Tucumán,,,"Anexo Escuadrones GN (Wikipedia), Esc 55 -> San Miguel de Tucumán"
37/049 - Escuadrón 26 Barreal,,,"Anexo Escuadrones GN (Wikipedia), Esc 26 -> Barreal"
37/022 - Escuadrón 56 Gualeguaychú,,,"Anexo Escuadrones GN (Wikipedia), Esc 56 -> Gualeguaychú"
37/057 - Escuadrón 30 Chos Malal,,,"Anexo Escuadrones GN (Wikipedia), Esc 30 -> Chos Malal"
37/100 - SERVICIO ADMINISTRATIVO FINANCIERO DESCONCENTRADO ESCUADRÓN 59 SANTIAGO DEL ESTERO,,,"Anexo Escuadrones GN (Wikipedia), Esc 59 -> Ciudad de Santiago del Estero"
37/136 - ESCUADRON 49 SAN VICENTE,,,"Anexo Escuadrones GN (Wikipedia), Esc 49 -> San Vicente"
37/76 - SERVICIO ADMINISTRATIVO FINANCIERO DESCONCENTRADO ESCUADRÓN 15 BAJO PARAGUAY,Formosa,Formosa,"Anexo Escuadrones GN (Wikipedia), Esc 15 -> Ciudad de Formosa"
37/80 - SERVICIO ADMINISTRATIVO FINANCIERO DESCONCENTRADO ESCUADRÓN 46 ROSARIO-VICTORIA,,,"Anexo Escuadrones GN (Wikipedia), Esc 46 -> Rosario"
37/039 - Escuadrón 21 La Quiaca,,,"Anexo Escuadrones GN (Wikipedia), Esc 21 -> La Quiaca"
37/069 - Escuadrón 43 Rio Turbio,,,"Anexo Escuadrones GN (Wikipedia), Esc 43 -> Río Turbio"
37/068 - Escuadrón 42 Calafate,,,"Anexo Escuadrones GN (Wikipedia), Esc 42 -> Calafate"
37/067 - Escuadrón 39 Perito Moreno,,,"Anexo Escuadrones GN (Wikipedia), Esc 39 -> Perito Moreno"
37/75 - SERVICIO ADMINISTRATIVO FINANCIERO DESCONCENTRADO ESCUADRÓN 50 POSADAS,,,"Anexo Escuadrones GN (Wikipedia), Esc 50 -> Posadas"
37/034 - Escuadrón 19 Ingeniero Juarez,,,"Anexo Escuadrones GN (Wikipedia), Esc 19 -> Ingeniero Juárez"
37/033 - Escuadron 18 Lomitas,Las Lomitas,Formosa,"Anexo Escuadrones GN (Wikipedia), Esc 18 -> Las Lomitas"
37/058 - Escuadrón 31 Las Lajas,,,"Anexo Escuadrones GN (Wikipedia), Esc 31 -> Las Lajas"
37/065 - Escuadrón 38 Rio Mayo,,,"Anexo Escuadrones GN (Wikipedia), Esc 38 -> Río Mayo"
37/096 - Escuadrón 58 La Rioja,,,"Anexo Escuadrones GN (Wikipedia), Esc 58 -> Ciudad de La Rioja"
37/045 - Escuadrón 23 Tinogasta,,,"Anexo Escuadrones GN (Wikipedia), Esc 23 -> Tinogasta"
37/116 - Escuadron 62 Rio Grande,,,"Anexo Escuadrones GN (Wikipedia), Esc 62 -> Río Grande"
37/138 - ESCUADRON 51  FONTANA,,,"Anexo Escuadrones GN (Wikipedia), Esc 51 -> Fontana"
37/70 - ESCUADRON 44 USHUAIA,,,"Anexo Escuadrones GN (Wikipedia), Esc 44 -> Ushuaia"
84/28 - Jefatura Agrupación Artillería Antiaérea Ej. 601 - EC,,,"Anexo Unidades EA (Wikipedia): AAA 601, Mar del Plata"
38/17 - Escuela Naval Militar,,,"sede historica Rio Santiago, Ensenada"
38/5 - División de Compras - Arsenal Aereonaval Comandante Espora,Bahía Blanca,Buenos Aires,"Arsenal Aeronaval Comandante Espora: Base Espora, Bahia Blanca"
37/119 - Gendarmería Nacional - Escuadrón 61 Salvador Mazza,Profesor Salvador Mazza,Salta,"seat named in the unit's own denomination; 3 Sep 2026 seat-vs-georef check: the prefill's short name had gone to Nominatim, which returned a point beside Salta city, 346 km from the seat, and the denomination rule marked it verified"
37/048 - Escuadrón 25 Jachal,San José de Jáchal,San Juan,"seat named in the unit's own denomination; 3 Sep 2026 seat-vs-georef check: the prefill's short name had gone to Nominatim, which returned a point in the Jáchal department, 29 km from the seat, and the denomination rule marked it verified"
37/081 - Escuadrón Seguridad El Chocon,Villa El Chocón,Neuquén,"seat named in the unit's own denomination; 3 Sep 2026 seat-vs-georef check: the prefill's short name had gone to Nominatim, which returned a point beside Neuquén city, 74 km from the seat, and the denomination rule marked it verified"
